file	order	reorder	algo_time	bdd_time	reorder_time	and_time	reach_one	reach_one_total	reach_one_decomposed	sum_nodes	minterms	span	ecr	inputs	clauses	functions	mean (variables_in_functions)	standard deviation (variables_in_functions)	median (variables_in_functions)	maxnode	total
LinuxKernel_arch	FORCE	NONE		0.005949	0	0.000261	0.000261	0.000522	0.000549	94	3.4316e+32	3429	26.01626016260163	121.0	144.0	2.0	63.22314049586777	52.01033349223366	63.22314049586777	78	93
LinuxKernel_block	FORCE	NONE		0.002569	0	0.000235	0.000234	0.000469	0.000581	93	1.22647e+15	490	42.62295081967213	60.0	84.0	2.0	71.66666666666667	40.069384267237695	71.66666666666667	49	87
LinuxKernel_crypto	FORCE	NONE		0.100309	0	0.037135	0.037134	0.074269	0.096433	14822	5.12222e+66	22733	86.19402985074626	268.0	493.0	2.0	93.09701492537313	9.76229511339637	93.09701492537313	14815	14866
LinuxKernel_fs	FORCE	NONE		5.20092	0	1.05216	1.05216	2.10433	3.479	341935	3.27212e+82	29616	59.59302325581395	339.0	541.0	2.0	80.23598820058997	27.950533533627546	80.23598820058997	341510	396879
LinuxKernel_lib	FORCE	NONE		0.005429	0	0.000447	0.000446	0.000893	0.000981	195	5.49936e+32	3826	27.86885245901639	121.0	146.0	2.0	64.0495867768595	50.84156195308234	64.0495867768595	129	197
LinuxKernel_mm	FORCE	NONE		0.004002	0	0.000221	0.00022	0.000441	0.000498	70	1.29049e+18	1362	37.5	70.0	91.0	2.0	69.28571428571429	43.43655941574506	69.28571428571429	61	79
LinuxKernel_security	FORCE	NONE		0.005498	0	0.001547	0.001546	0.003093	0.003707	517	2.11552e+15	1744	59.210526315789465	73.0	117.0	2.0	80.82191780821918	27.12190393592237	80.82191780821918	420	711
Smart Home v2	FORCE	NONE		0.001209	0	0.000147	0.000147	0.000294	0.000383	38	903168	135	0.0	38.0	43.0	1.0	100.0		100.0	38	38
BankingSoftware	FORCE	NONE		0.006587	0	0.00055	0.00055	0.0011	0.001115	244	5.25823e+31	1747	2.604166666666667	176.0	196.0	2.0	51.42045454545455	68.70185203573843	51.42045454545455	238	242
Assess4me	FORCE	NONE		0.00144	0	0.000157	0.000157	0.000314	0.000433	51	6144	118	0.0	40.0	45.0	1.0	100.0		100.0	51	51
SmartTV	FORCE	NONE		0.004664	0	0.000393	0.000392	0.000785	0.005335	146	4.67664e+16	587	0.0	96.0	110.0	1.0	100.0		100.0	146	146
