file	order	reeorder	ecr	code	dead	size_f0	size_f1	f0_time	f1_time	dead_core_f0	dead_core_f1	total
LinuxKernel_block	FORCE		42.62295081967213	1	0	49	44	0.000158	6.8e-05	9.1e-05	7.9e-05	0.000235
LinuxKernel_crypto	FORCE		86.19402985074626	1	0	7	14815	0.004426	0.075097	3.8e-05	0.019999	0.101757
LinuxKernel_fs	FORCE		59.59302325581395	1	0	425	341510	0.005901	4.85241	0.000547	0.571257	5.51797
LinuxKernel_lib	FORCE		27.86885245901639	1	0	129	66	0.000792	9.3e-05	0.000171	0.000116	0.000827
LinuxKernel_mm	FORCE		37.5	1	0	9	61	0.000375	8.2e-05	3.7e-05	0.000108	0.0003
LinuxKernel_security	FORCE		59.210526315789465	1	0	97	420	0.000319	0.000493	0.000155	0.000576	0.001153
BankingSoftware	FORCE		2.604166666666667	17	0	238	6	0.001664	1.9e-05	0.000308	3.1e-05	0.001933
HIS	FORCE		10.95890410958904	37	0	103	23	0.00044	1.9e-05	0.000145	5.2e-05	0.000618
Documentation_Generation	FORCE		24.528301886792452	8	0	63	91	0.000207	3.2e-05	0.000118	0.000142	0.000285
Graph	FORCE		21.21212121212121	11	0	41	16	0.00012	2.4e-05	7.1e-05	4.5e-05	0.000183
Web_Portal	FORCE		22.448979591836736	4	0	109	22	0.000206	2.3e-05	0.000163	5.4e-05	0.000332
Electronic Shopping	FORCE		10.303030303030303	30	0	2193	805	0.011717	0.000178	0.002677	0.0011	0.014564
Dell_XML	FORCE		88.54961832061069	1	0	2703	43396	0.002911	6.51541	0.0035	0.053839	6.64174
eCos_compat	FORCE		21.428571428571427	1	1	29	7	6.6e-05	1.9e-05	6.2e-05	3.2e-05	0.00016
eCos_fs	FORCE		4.3478260869565215	1	1	26	2	6.1e-05	1e-05	5.7e-05	2.6e-05	6.1e-05
eCos_infra	FORCE		18.51851851851852	1	1	28	7	6.9e-05	1.9e-05	6.1e-05	3.4e-05	0.000259
eCos_io	FORCE		29.230769230769234	1	1	266	68	0.000806	0.000102	0.00036	0.000116	0.001235
