file	order	reeorder	ecr	code	dead	size_f0	size_f1	f0_time	f1_time	dead_core_f0	dead_core_f1	total
Graph	FORCE	CUDD_REORDER_SIFT	21.21212121212121	11	0	41	16	0.000119	2.5e-05	7.2e-05	4.4e-05	0.00021
Web_Portal	FORCE	CUDD_REORDER_SIFT	22.448979591836736	4	0	109	22	0.000203	2.3e-05	0.000165	5.4e-05	0.000386
Electronic Shopping	FORCE	CUDD_REORDER_SIFT	10.303030303030303	30	0	997	805	0.136122	0.000177	0.001233	0.001101	0.140069
Dell_XML	FORCE	CUDD_REORDER_SIFT	88.54961832061069	1	0	3154	15202	0.012228	2.80533	0.004072	0.019662	2.83738
eCos_compat	FORCE	CUDD_REORDER_SIFT	21.428571428571427	1	1	29	7	6.5e-05	2e-05	6.3e-05	3.2e-05	0.000138
eCos_fs	FORCE	CUDD_REORDER_SIFT	4.3478260869565215	1	1	26	2	6e-05	9e-06	5.6e-05	2.7e-05	9e-05
eCos_infra	FORCE	CUDD_REORDER_SIFT	18.51851851851852	1	1	28	7	6.9e-05	1.9e-05	6.2e-05	3.3e-05	6.2e-05
eCos_io	FORCE	CUDD_REORDER_SIFT	29.230769230769234	1	1	266	68	0.000815	0.000102	0.000364	0.000116	0.000876
eCos_isoinfra	FORCE	CUDD_REORDER_SIFT	1.935483870967742	1	0	156	4	0.028824	1.5e-05	0.000287	2.7e-05	0.029563
eCos_kernel	FORCE	CUDD_REORDER_SIFT	35.08771929824561	1	1	58	58	0.0002	5.7e-05	0.000102	0.00011	8.7e-05
eCos_language	FORCE	CUDD_REORDER_SIFT	36.144578313253014	1	1	206	61	0.000338	8.3e-05	0.000284	0.000109	0.000502
eCos_net	FORCE	CUDD_REORDER_SIFT	37.38317757009346	1	1	153	172	0.000333	0.000268	0.000203	0.000245	0.000684
eCos_redboot	FORCE	CUDD_REORDER_SIFT	11.11111111111111	1	1	64	8	0.000264	2e-05	0.000111	3.3e-05	0.000426
eCos_services	FORCE	CUDD_REORDER_SIFT	41.81818181818181	1	1	97	36	0.000175	5.4e-05	0.000152	7.3e-05	0.000221
LinuxKernel_arch	FORCE	CUDD_REORDER_SIFT	26.01626016260163	1	0	16	78	0.000929	9.9e-05	4.6e-05	0.000128	0.001126
LinuxKernel_block	FORCE	CUDD_REORDER_SIFT	42.62295081967213	1	0	49	44	0.00016	6.9e-05	9.1e-05	7.9e-05	0.000243
LinuxKernel_crypto	FORCE	CUDD_REORDER_SIFT	86.19402985074626	1	0	7	3484	0.004378	0.483794	3.7e-05	0.004532	0.494492
LinuxKernel_fs	FORCE	CUDD_REORDER_SIFT	59.59302325581395	1	0	400	2673	0.851221	0.165776	0.000557	0.003354	0.854861
LinuxKernel_lib	FORCE	CUDD_REORDER_SIFT	27.86885245901639	1	0	129	66	0.054011	0.000103	0.00023	0.000124	0.055263
LinuxKernel_mm	FORCE	CUDD_REORDER_SIFT	37.5	1	0	9	61	0.000307	6.6e-05	3.7e-05	0.000109	0.00036
LinuxKernel_security	FORCE	CUDD_REORDER_SIFT	59.210526315789465	1	0	97	420	0.000316	0.000492	0.000151	0.000577	0.001135
BankingSoftware	FORCE	CUDD_REORDER_SIFT	2.604166666666667	17	0	238	6	0.001588	1.9e-05	0.000305	3.1e-05	0.00204
HIS	FORCE	CUDD_REORDER_SIFT	10.95890410958904	37	0	103	23	0.000437	1.9e-05	0.000146	5.2e-05	0.000511
Documentation_Generation	FORCE	CUDD_REORDER_SIFT	24.528301886792452	8	0	63	91	0.000204	3.2e-05	0.000109	0.000135	0.000278
Graph	FORCE	CUDD_REORDER_SIFT	21.21212121212121	11	0	41	16	0.00012	2.5e-05	7.2e-05	4.4e-05	0.000136
Web_Portal	FORCE	CUDD_REORDER_SIFT	22.448979591836736	4	0	109	22	0.000203	2.4e-05	0.000175	5.3e-05	6.5e-05
Electronic Shopping	FORCE	CUDD_REORDER_SIFT	10.303030303030303	30	0	997	805	0.135917	0.000178	0.001229	0.001102	0.139811
