file	order	reorder	ecr	core	dead	size_f0	size_f1	f0_time	f1_time	dead_core	total
Graph	FORCE		21.21212121212121	11	0	41	16	0.00012	2.6e-05	0.00183	0.002059
Web_Portal	FORCE		22.448979591836736	4	0	109	22	0.000203	2.3e-05	0.008403	0.00878
Electronic Shopping	FORCE		10.303030303030303	30	0	2193	805	0.011567	0.000182	1.18751	1.19947
Dell_XML	FORCE		88.54961832061069	1	0	2703	43396	0.002826	6.56007	0.610236	7.24175
eCos_compat	FORCE		21.428571428571427	1	1	29	7	6.4e-05	1.7e-05	0.001001	0.001113
eCos_fs	FORCE		4.3478260869565215	1	1	26	2	5.8e-05	1e-05	0.000882	0.001037
eCos_infra	FORCE		18.51851851851852	1	1	28	7	7e-05	2e-05	0.00116	0.001368
eCos_io	FORCE		29.230769230769234	1	1	266	68	0.000802	9.8e-05	0.015426	0.016447
eCos_isoinfra	FORCE		1.935483870967742	1	0	157	4	0.001573	1.4e-05	0.0051	0.00711
eCos_kernel	FORCE		35.08771929824561	1	1	58	58	0.000194	5.7e-05	0.003992	0.004321
eCos_language	FORCE		36.144578313253014	1	1	206	61	0.000338	8.3e-05	0.010587	0.011054
eCos_net	FORCE		37.38317757009346	1	1	153	172	0.000334	0.000269	0.011052	0.011442
eCos_redboot	FORCE		11.11111111111111	1	1	64	8	0.000256	1.9e-05	0.002309	0.002695
eCos_services	FORCE		41.81818181818181	1	1	97	36	0.000178	5.5e-05	0.004557	0.004847
LinuxKernel_arch	FORCE		26.01626016260163	1	0	16	78	0.000892	9.8e-05	0.003241	0.004266
LinuxKernel_block	FORCE		42.62295081967213	1	0	49	44	0.000156	6.9e-05	0.002844	0.003101
LinuxKernel_crypto	FORCE		86.19402985074626	1	0	7	14815	0.004274	0.077074	0.520372	0.602194
LinuxKernel_fs	FORCE		59.59302325581395	1	0	425	341510	0.005333	4.93435	17.4048	22.4347
LinuxKernel_lib	FORCE		27.86885245901639	1	0	129	66	0.000728	9.2e-05	0.006048	0.007022
LinuxKernel_mm	FORCE		37.5	1	0	9	61	0.000303	6.7e-05	0.002539	0.002987
LinuxKernel_security	FORCE		59.210526315789465	1	0	97	420	0.000315	0.000485	0.023973	0.024611
BankingSoftware	FORCE		2.604166666666667	17	0	238	6	0.001639	1.8e-05	0.007306	0.009165
HIS	FORCE		10.95890410958904	37	0	103	23	0.000437	1.8e-05	0.004715	0.005276
Documentation_Generation	FORCE		24.528301886792452	8	0	63	91	0.000202	3.5e-05	0.016994	0.017315
Graph	FORCE		21.21212121212121	11	0	41	16	0.000124	2.7e-05	0.00185	0.002121
Web_Portal	FORCE		22.448979591836736	4	0	109	22	0.0002	2.3e-05	0.006856	0.007175
Electronic Shopping	FORCE		10.303030303030303	30	0	2193	805	0.011775	0.000177	1.20992	1.22221
Dell_XML	FORCE		88.54961832061069	1	0	2703	43396	0.003165	6.62675	0.607023	7.30383
eCos_compat	FORCE		21.428571428571427	1	1	29	7	6.4e-05	1.8e-05	0.001047	0.001212
eCos_fs	FORCE		4.3478260869565215	1	1	26	2	5.9e-05	1e-05	0.00089	0.000978
eCos_infra	FORCE		18.51851851851852	1	1	28	7	7e-05	1.9e-05	0.001122	0.001322
eCos_io	FORCE		29.230769230769234	1	1	266	68	0.000794	9.9e-05	0.015292	0.01618
eCos_isoinfra	FORCE		1.935483870967742	1	0	157	4	0.001564	1.5e-05	0.004838	0.006868
eCos_kernel	FORCE		35.08771929824561	1	1	58	58	0.000196	5.7e-05	0.003987	0.004259
eCos_language	FORCE		36.144578313253014	1	1	206	61	0.000332	8.5e-05	0.010536	0.011125
eCos_net	FORCE		37.38317757009346	1	1	153	172	0.000341	0.000291	0.010862	0.011334
eCos_redboot	FORCE		11.11111111111111	1	1	64	8	0.000256	2e-05	0.002244	0.002555
eCos_services	FORCE		41.81818181818181	1	1	97	36	0.000176	5.6e-05	0.004507	0.004785
LinuxKernel_arch	FORCE		26.01626016260163	1	0	16	78	0.00088	9.7e-05	0.003239	0.004399
LinuxKernel_block	FORCE		42.62295081967213	1	0	49	44	0.000158	6.9e-05	0.002899	0.003135
LinuxKernel_crypto	FORCE		86.19402985074626	1	0	7	14815	0.004216	0.081564	0.519479	0.606057
LinuxKernel_fs	FORCE		59.59302325581395	1	0	425	341510	0.005447	4.89817	17.6171	22.6001
LinuxKernel_lib	FORCE		27.86885245901639	1	0	129	66	0.000733	9.1e-05	0.006183	0.006871
LinuxKernel_mm	FORCE		37.5	1	0	9	61	0.000305	6.6e-05	0.002482	0.002842
LinuxKernel_security	FORCE		59.210526315789465	1	0	97	420	0.000316	0.000484	0.024986	0.025893
BankingSoftware	FORCE		2.604166666666667	17	0	238	6	0.001621	1.8e-05	0.007114	0.008772
HIS	FORCE		10.95890410958904	37	0	103	23	0.000433	1.9e-05	0.004865	0.005472
Documentation_Generation	FORCE		24.528301886792452	8	0	63	91	0.000207	3.3e-05	0.017058	0.017369
Graph	FORCE		21.21212121212121	11	0	41	16	0.000136	2.8e-05	0.001775	0.001864
Web_Portal	FORCE		22.448979591836736	4	0	109	22	0.000201	2.3e-05	0.006716	0.007023
Electronic Shopping	FORCE		10.303030303030303	30	0	2193	805	0.011514	0.000183	1.20902	1.22111
Dell_XML	FORCE		88.54961832061069	1	0	2703	43396	0.002966	6.58663	0.607459	7.27574
eCos_compat	FORCE		21.428571428571427	1	1	29	7	6.4e-05	1.8e-05	0.001022	0.001247
eCos_fs	FORCE		4.3478260869565215	1	1	26	2	5.7e-05	9e-06	0.000893	0.001033
eCos_infra	FORCE		18.51851851851852	1	1	28	7	8.3e-05	1.9e-05	0.001132	0.001492
eCos_io	FORCE		29.230769230769234	1	1	266	68	0.000799	0.0001	0.015421	0.01631
eCos_isoinfra	FORCE		1.935483870967742	1	0	157	4	0.00174	1.5e-05	0.005131	0.007362
eCos_kernel	FORCE		35.08771929824561	1	1	58	58	0.000194	5.8e-05	0.00391	0.00429
eCos_language	FORCE		36.144578313253014	1	1	206	61	0.000343	8.3e-05	0.010836	0.01117
eCos_net	FORCE		37.38317757009346	1	1	153	172	0.000331	0.000265	0.011331	0.011779
eCos_redboot	FORCE		11.11111111111111	1	1	64	8	0.000258	2e-05	0.002497	0.002883
eCos_services	FORCE		41.81818181818181	1	1	97	36	0.000177	5.3e-05	0.004453	0.004735
LinuxKernel_arch	FORCE		26.01626016260163	1	0	16	78	0.000894	9.8e-05	0.003177	0.004401
LinuxKernel_block	FORCE		42.62295081967213	1	0	49	44	0.000159	6.9e-05	0.003012	0.003206
LinuxKernel_crypto	FORCE		86.19402985074626	1	0	7	14815	0.004293	0.076515	0.515579	0.597652
LinuxKernel_fs	FORCE		59.59302325581395	1	0	425	341510	0.005383	4.91302	17.4279	22.427
LinuxKernel_lib	FORCE		27.86885245901639	1	0	129	66	0.000734	9.3e-05	0.006164	0.007026
LinuxKernel_mm	FORCE		37.5	1	0	9	61	0.000302	6.5e-05	0.002585	0.003018
LinuxKernel_security	FORCE		59.210526315789465	1	0	97	420	0.000318	0.000488	0.024914	0.025589
BankingSoftware	FORCE		2.604166666666667	17	0	238	6	0.001609	1.8e-05	0.007468	0.009293
HIS	FORCE		10.95890410958904	37	0	103	23	0.000435	1.8e-05	0.004781	0.005104
Documentation_Generation	FORCE		24.528301886792452	8	0	63	91	0.000202	3.4e-05	0.017177	0.017487
Graph	FORCE		21.21212121212121	11	0	41	16	0.000121	2.7e-05	0.001785	0.002027
Web_Portal	FORCE		22.448979591836736	4	0	109	22	0.000207	2.4e-05	0.006644	0.006913
Electronic Shopping	FORCE		10.303030303030303	30	0	2193	805	0.011495	0.000183	1.20325	1.21504
