file	order	reorder	algo_time	bdd_time	reorder_time	and_time	reach_one	reach_one_total	reach_one_decomposed	sum_nodes	minterms	span	ecr	inputs	clauses	functions	mean (variables_in_functions)	standard deviation (variables_in_functions)	median (variables_in_functions)	maxnode	total
Graph	FORCE	CUDD_REORDER_SIFT		0.001561	0	0.000168	0.000167	0.000335	0.000284	57	240	132	21.21212121212121	30.0	41.0	2.0	61.666666666666664	54.21151989096864	61.666666666666664	41	57
Thread	FORCE	CUDD_REORDER_SIFT		0.002762	0	0.000303	0.000303	0.000606	0.001594	131	80658	149	0.0	44.0	51.0	1.0	100.0		100.0	131	131
Web_Portal	FORCE	CUDD_REORDER_SIFT		0.002299	0	0.000509	0.000508	0.001017	0.001134	131	2.1208e+06	215	22.448979591836736	43.0	55.0	2.0	62.79069767441861	52.62189999527795	62.79069767441861	109	217
Electronic Shopping	FORCE	CUDD_REORDER_SIFT		0.427717	0	0.053217	0.053216	0.106433	0.170087	2011	4.52041e+49	3781	10.303030303030303	290.0	351.0	2.0	55.86206896551724	62.42046068405384	55.86206896551724	1491	24345
Dell_XML	FORCE	CUDD_REORDER_SIFT		2.47695	0	0.016262	0.016261	0.032523	0.124162	17690	1.12867e+06	58987	88.54961832061069	118.0	1778.0	2.0	99.15254237288136	1.1984860698077069	99.15254237288136	16601	8330
eCos_compat	FORCE	CUDD_REORDER_SIFT		0.000826	0	0.000111	0.00011	0.000221	0.00017	36	7.88954e+06	103	21.428571428571427	28.0	32.0	2.0	60.714285714285715	55.55838995037159	60.714285714285715	29	32
eCos_fs	FORCE	CUDD_REORDER_SIFT		0.000736	0	0.000102	0.000101	0.000203	0.000125	28	49725	61	4.3478260869565215	22.0	24.0	2.0	52.27272727272727	67.49655638598863	52.27272727272727	26	27
eCos_infra	FORCE	CUDD_REORDER_SIFT		0.001052	0	0.000129	0.000129	0.000258	0.000178	35	9.43718e+06	177	18.51851851851852	27.0	31.0	2.0	59.25925925925926	57.61610809668165	59.25925925925926	28	34
eCos_io	FORCE	CUDD_REORDER_SIFT		0.00573	0	0.000722	0.000721	0.001443	0.00263	334	1.85602e+32	991	29.230769230769234	130.0	156.0	2.0	64.61538461538461	50.04140297627875	64.61538461538461	266	311
eCos_isoinfra	FORCE	CUDD_REORDER_SIFT		0.034147	0	0.000527	0.000526	0.001053	0.000739	160	7.13624e+45	6009	1.935483870967742	155.0	157.0	2.0	50.96774193548387	69.34208434861627	50.96774193548387	156	156
eCos_kernel	FORCE	CUDD_REORDER_SIFT		0.003087	0	0.00032	0.00032	0.00064	0.00065	116	9.40598e+14	857	35.08771929824561	57.0	72.0	2.0	67.54385964912281	45.8999138664952	67.54385964912281	58	113
eCos_language	FORCE	CUDD_REORDER_SIFT		0.003917	0	0.000598	0.000598	0.001196	0.001858	267	3.41562e+19	629	36.144578313253014	82.0	107.0	2.0	68.29268292682927	44.84091783134204	68.29268292682927	206	262
eCos_net	FORCE	CUDD_REORDER_SIFT		0.004992	0	0.000662	0.000661	0.001323	0.002153	325	1.01061e+19	1042	37.38317757009346	82.0	148.0	2.0	72.5609756097561	33.63068837350653	72.5609756097561	172	299
eCos_redboot	FORCE	CUDD_REORDER_SIFT		0.003177	0	0.000212	0.000211	0.000423	0.000322	72	4.86389e+17	969	11.11111111111111	63.0	67.0	2.0	55.55555555555556	62.853936105470886	55.55555555555556	64	69
eCos_services	FORCE	CUDD_REORDER_SIFT		0.002539	0	0.000333	0.000333	0.000666	0.000866	133	5.54232e+11	353	41.81818181818181	53.0	77.0	2.0	71.69811320754717	40.02491214263477	71.69811320754717	97	129
LinuxKernel_arch	FORCE	CUDD_REORDER_SIFT		0.005743	0	0.00025	0.00025	0.0005	0.000537	94	3.4316e+32	3429	26.01626016260163	121.0	144.0	2.0	63.22314049586777	52.01033349223366	63.22314049586777	78	93
LinuxKernel_block	FORCE	CUDD_REORDER_SIFT		0.00263	0	0.000247	0.000245	0.000492	0.00059	93	1.22647e+15	490	42.62295081967213	60.0	84.0	2.0	71.66666666666667	40.069384267237695	71.66666666666667	49	87
LinuxKernel_crypto	FORCE	CUDD_REORDER_SIFT		0.607479	0	0.005339	0.005339	0.010678	0.014566	2512	5.12222e+66	22733	86.19402985074626	268.0	493.0	2.0	93.09701492537313	9.76229511339637	93.09701492537313	2504	2532
LinuxKernel_fs	FORCE	CUDD_REORDER_SIFT		1.83877	0	0.014018	0.014018	0.028036	0.038608	3900	3.27212e+82	29616	59.59302325581395	339.0	541.0	2.0	80.23598820058997	27.950533533627546	80.23598820058997	3501	6396
LinuxKernel_lib	FORCE	CUDD_REORDER_SIFT		0.074932	0	0.000674	0.000674	0.001348	0.001463	224	5.49936e+32	3826	27.86885245901639	121.0	146.0	2.0	64.0495867768595	50.84156195308234	64.0495867768595	127	296
LinuxKernel_mm	FORCE	CUDD_REORDER_SIFT		0.003892	0	0.000222	0.00022	0.000442	0.000491	70	1.29049e+18	1362	37.5	70.0	91.0	2.0	69.28571428571429	43.43655941574506	69.28571428571429	61	79
LinuxKernel_security	FORCE	CUDD_REORDER_SIFT		0.005426	0	0.001551	0.001551	0.003102	0.003746	517	2.11552e+15	1744	59.210526315789465	73.0	117.0	2.0	80.82191780821918	27.12190393592237	80.82191780821918	420	711
Smart Home v2	FORCE	CUDD_REORDER_SIFT		0.001136	0	0.000122	0.000122	0.000244	0.000397	38	903168	135	0.0	38.0	43.0	1.0	100.0		100.0	38	38
BankingSoftware	FORCE	CUDD_REORDER_SIFT		0.006438	0	0.000546	0.000546	0.001092	0.001117	244	5.25823e+31	1747	2.604166666666667	176.0	196.0	2.0	51.42045454545455	68.70185203573843	51.42045454545455	238	242
Assess4me	FORCE	CUDD_REORDER_SIFT		0.001375	0	0.000156	0.000156	0.000312	0.000415	51	6144	118	0.0	40.0	45.0	1.0	100.0		100.0	51	51
SmartTV	FORCE	CUDD_REORDER_SIFT		0.004539	0	0.000386	0.000385	0.000771	0.009498	146	4.67664e+16	587	0.0	96.0	110.0	1.0	100.0		100.0	146	146
Model_Transformation	FORCE	CUDD_REORDER_SIFT		0.004662	0	0.000372	0.000371	0.000743	0.005271	148	1.65299e+13	404	0.0	88.0	113.0	1.0	100.0		100.0	148	148
HIS	FORCE	CUDD_REORDER_SIFT		0.00337	0	0.000364	0.000364	0.000728	0.000798	126	6400	305	10.95890410958904	67.0	77.0	2.0	55.97014925373134	62.267612074636276	55.97014925373134	103	155
Documentation_Generation	FORCE	CUDD_REORDER_SIFT		0.002435	0	0.001206	0.001206	0.002412	0.002474	154	5.56816e+07	350	24.528301886792452	44.0	61.0	2.0	64.77272727272728	49.81888685632494	64.77272727272728	91	531
Graph	FORCE	CUDD_REORDER_SIFT		0.00157	0	0.000166	0.000166	0.000332	0.000284	57	240	132	21.21212121212121	30.0	41.0	2.0	61.666666666666664	54.21151989096864	61.666666666666664	41	57
Thread	FORCE	CUDD_REORDER_SIFT		0.003214	0	0.000316	0.000316	0.000632	0.001389	131	80658	149	0.0	44.0	51.0	1.0	100.0		100.0	131	131
Web_Portal	FORCE	CUDD_REORDER_SIFT		0.002239	0	0.000504	0.000503	0.001007	0.00113	131	2.1208e+06	215	22.448979591836736	43.0	55.0	2.0	62.79069767441861	52.62189999527795	62.79069767441861	109	217
Electronic Shopping	FORCE	CUDD_REORDER_SIFT		0.426443	0	0.052791	0.05279	0.105581	0.169506	2011	4.52041e+49	3781	10.303030303030303	290.0	351.0	2.0	55.86206896551724	62.42046068405384	55.86206896551724	1491	24345
Dell_XML	FORCE	CUDD_REORDER_SIFT		2.45815	0	0.016229	0.016229	0.032458	0.12425	17690	1.12867e+06	58987	88.54961832061069	118.0	1778.0	2.0	99.15254237288136	1.1984860698077069	99.15254237288136	16601	8330
eCos_compat	FORCE	CUDD_REORDER_SIFT		0.000851	0	0.000114	0.000114	0.000228	0.00017	36	7.88954e+06	103	21.428571428571427	28.0	32.0	2.0	60.714285714285715	55.55838995037159	60.714285714285715	29	32
